,layer,shape,size
0,features.conv0.weight,"torch.Size([64, 3, 3, 3])",1728
1,features.norm0.weight,torch.Size([64]),64
2,features.norm0.bias,torch.Size([64]),64
3,features.denseblock1.denselayer1.norm1.weight,torch.Size([64]),64
4,features.denseblock1.denselayer1.norm1.bias,torch.Size([64]),64
5,features.denseblock1.denselayer1.conv1.conv_out.weight,"torch.Size([124, 64, 1, 1])",7936
6,features.denseblock1.denselayer1.conv1.conv_out.bias,torch.Size([124]),124
7,features.denseblock1.denselayer1.conv1.qkv_conv.weight,"torch.Size([84, 64, 1, 1])",5376
8,features.denseblock1.denselayer1.conv1.qkv_conv.bias,torch.Size([84]),84
9,features.denseblock1.denselayer1.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
10,features.denseblock1.denselayer1.conv1.attn_out.bias,torch.Size([4]),4
11,features.denseblock1.denselayer1.norm2.weight,torch.Size([128]),128
12,features.denseblock1.denselayer1.norm2.bias,torch.Size([128]),128
13,features.denseblock1.denselayer1.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
14,features.denseblock1.denselayer1.conv2.conv_out.bias,torch.Size([28]),28
15,features.denseblock1.denselayer1.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
16,features.denseblock1.denselayer1.conv2.qkv_conv.bias,torch.Size([84]),84
17,features.denseblock1.denselayer1.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
18,features.denseblock1.denselayer1.conv2.attn_out.bias,torch.Size([4]),4
19,features.denseblock1.denselayer2.norm1.weight,torch.Size([96]),96
20,features.denseblock1.denselayer2.norm1.bias,torch.Size([96]),96
21,features.denseblock1.denselayer2.conv1.conv_out.weight,"torch.Size([124, 96, 1, 1])",11904
22,features.denseblock1.denselayer2.conv1.conv_out.bias,torch.Size([124]),124
23,features.denseblock1.denselayer2.conv1.qkv_conv.weight,"torch.Size([84, 96, 1, 1])",8064
24,features.denseblock1.denselayer2.conv1.qkv_conv.bias,torch.Size([84]),84
25,features.denseblock1.denselayer2.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
26,features.denseblock1.denselayer2.conv1.attn_out.bias,torch.Size([4]),4
27,features.denseblock1.denselayer2.norm2.weight,torch.Size([128]),128
28,features.denseblock1.denselayer2.norm2.bias,torch.Size([128]),128
29,features.denseblock1.denselayer2.conv2.conv_out.weight,"torch.Size([28, 128, 3, 3])",32256
30,features.denseblock1.denselayer2.conv2.conv_out.bias,torch.Size([28]),28
31,features.denseblock1.denselayer2.conv2.qkv_conv.weight,"torch.Size([84, 128, 3, 3])",96768
32,features.denseblock1.denselayer2.conv2.qkv_conv.bias,torch.Size([84]),84
33,features.denseblock1.denselayer2.conv2.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
34,features.denseblock1.denselayer2.conv2.attn_out.bias,torch.Size([4]),4
35,features.denseblock1.denselayer3.norm1.weight,torch.Size([128]),128
36,features.denseblock1.denselayer3.norm1.bias,torch.Size([128]),128
37,features.denseblock1.denselayer3.conv1.conv_out.weight,"torch.Size([124, 128, 1, 1])",15872
38,features.denseblock1.denselayer3.conv1.conv_out.bias,torch.Size([124]),124
39,features.denseblock1.denselayer3.conv1.qkv_conv.weight,"torch.Size([84, 128, 1, 1])",10752
40,features.denseblock1.denselayer3.conv1.qkv_conv.bias,torch.Size([84]),84
41,features.denseblock1.denselayer3.conv1.attn_out.weight,"torch.Size([4, 4, 1, 1])",16
42,features.denseblock1.denselayer3.conv1.attn_out.bias,torch.Size([4]),4
43,features.denseblock1.denselayer3.norm2.weight,torch.Size([128]),128
