,layer,shape,size
0,features.conv0.weight,"torch.Size([64, 3, 3, 3])",1728
1,features.norm0.weight,torch.Size([64]),64
2,features.norm0.bias,torch.Size([64]),64
3,features.denseblock1.denselayer1.norm1.weight,torch.Size([64]),64
4,features.denseblock1.denselayer1.norm1.bias,torch.Size([64]),64
5,features.denseblock1.denselayer1.conv1.weight,"torch.Size([128, 64, 1, 1])",8192
6,features.denseblock1.denselayer1.norm2.weight,torch.Size([128]),128
7,features.denseblock1.denselayer1.norm2.bias,torch.Size([128]),128
8,features.denseblock1.denselayer1.conv2.weight,"torch.Size([32, 128, 3, 3])",36864
9,features.denseblock1.denselayer2.norm1.weight,torch.Size([96]),96
10,features.denseblock1.denselayer2.norm1.bias,torch.Size([96]),96
11,features.denseblock1.denselayer2.conv1.weight,"torch.Size([128, 96, 1, 1])",12288
12,features.denseblock1.denselayer2.norm2.weight,torch.Size([128]),128
13,features.denseblock1.denselayer2.norm2.bias,torch.Size([128]),128
14,features.denseblock1.denselayer2.conv2.weight,"torch.Size([32, 128, 3, 3])",36864
15,features.denseblock1.denselayer3.norm1.weight,torch.Size([128]),128
16,features.denseblock1.denselayer3.norm1.bias,torch.Size([128]),128
17,features.denseblock1.denselayer3.conv1.weight,"torch.Size([128, 128, 1, 1])",16384
18,features.denseblock1.denselayer3.norm2.weight,torch.Size([128]),128
19,features.denseblock1.denselayer3.norm2.bias,torch.Size([128]),128
20,features.denseblock1.denselayer3.conv2.weight,"torch.Size([32, 128, 3, 3])",36864
21,features.denseblock1.denselayer4.norm1.weight,torch.Size([160]),160
22,features.denseblock1.denselayer4.norm1.bias,torch.Size([160]),160
23,features.denseblock1.denselayer4.conv1.weight,"torch.Size([128, 160, 1, 1])",20480
24,features.denseblock1.denselayer4.norm2.weight,torch.Size([128]),128
25,features.denseblock1.denselayer4.norm2.bias,torch.Size([128]),128
26,features.denseblock1.denselayer4.conv2.weight,"torch.Size([32, 128, 3, 3])",36864
27,features.denseblock1.denselayer5.norm1.weight,torch.Size([192]),192
28,features.denseblock1.denselayer5.norm1.bias,torch.Size([192]),192
29,features.denseblock1.denselayer5.conv1.weight,"torch.Size([128, 192, 1, 1])",24576
30,features.denseblock1.denselayer5.norm2.weight,torch.Size([128]),128
31,features.denseblock1.denselayer5.norm2.bias,torch.Size([128]),128
32,features.denseblock1.denselayer5.conv2.weight,"torch.Size([32, 128, 3, 3])",36864
33,features.denseblock1.denselayer6.norm1.weight,torch.Size([224]),224
34,features.denseblock1.denselayer6.norm1.bias,torch.Size([224]),224
35,features.denseblock1.denselayer6.conv1.weight,"torch.Size([128, 224, 1, 1])",28672
36,features.denseblock1.denselayer6.norm2.weight,torch.Size([128]),128
37,features.denseblock1.denselayer6.norm2.bias,torch.Size([128]),128
38,features.denseblock1.denselayer6.conv2.weight,"torch.Size([32, 128, 3, 3])",36864
39,features.transition1.norm.weight,torch.Size([256]),256
40,features.transition1.norm.bias,torch.Size([256]),256
41,features.transition1.conv.weight,"torch.Size([128, 256, 1, 1])",32768
42,features.denseblock2.denselayer1.norm1.weight,torch.Size([128]),128
43,features.denseblock2.denselayer1.norm1.bias,torch.Size([128]),128
44,features.denseblock2.denselayer1.conv1.weight,"torch.Size([128, 128, 1, 1])",16384
45,features.denseblock2.denselayer1.norm2.weight,torch.Size([128]),128
46,features.denseblock2.denselayer1.norm2.bias,torch.Size([128]),128
47,features.denseblock2.denselayer1.conv2.weight,"torch.Size([32, 128, 3, 3])",36864
48,features.denseblock2.denselayer2.norm1.weight,torch.Size([160]),160
