,layer,shape,size
0,conv1.weight,"torch.Size([64, 3, 3, 3])",1728
1,bn1.weight,torch.Size([64]),64
2,bn1.bias,torch.Size([64]),64
3,layer1.0.conv1.weight,"torch.Size([64, 64, 3, 3])",36864
4,layer1.0.bn1.weight,torch.Size([64]),64
5,layer1.0.bn1.bias,torch.Size([64]),64
6,layer1.0.conv2.weight,"torch.Size([64, 64, 3, 3])",36864
7,layer1.0.bn2.weight,torch.Size([64]),64
8,layer1.0.bn2.bias,torch.Size([64]),64
9,layer1.1.conv1.weight,"torch.Size([64, 64, 3, 3])",36864
10,layer1.1.bn1.weight,torch.Size([64]),64
11,layer1.1.bn1.bias,torch.Size([64]),64
12,layer1.1.conv2.weight,"torch.Size([64, 64, 3, 3])",36864
13,layer1.1.bn2.weight,torch.Size([64]),64
14,layer1.1.bn2.bias,torch.Size([64]),64
15,layer2.0.conv1.weight,"torch.Size([128, 64, 3, 3])",73728
16,layer2.0.bn1.weight,torch.Size([128]),128
17,layer2.0.bn1.bias,torch.Size([128]),128
18,layer2.0.conv2.weight,"torch.Size([128, 128, 3, 3])",147456
19,layer2.0.bn2.weight,torch.Size([128]),128
20,layer2.0.bn2.bias,torch.Size([128]),128
21,layer2.0.downsample.0.weight,"torch.Size([128, 64, 1, 1])",8192
22,layer2.0.downsample.1.weight,torch.Size([128]),128
23,layer2.0.downsample.1.bias,torch.Size([128]),128
24,layer2.1.conv1.weight,"torch.Size([128, 128, 3, 3])",147456
25,layer2.1.bn1.weight,torch.Size([128]),128
26,layer2.1.bn1.bias,torch.Size([128]),128
27,layer2.1.conv2.weight,"torch.Size([128, 128, 3, 3])",147456
28,layer2.1.bn2.weight,torch.Size([128]),128
29,layer2.1.bn2.bias,torch.Size([128]),128
30,layer3.0.conv1.weight,"torch.Size([256, 128, 3, 3])",294912
31,layer3.0.bn1.weight,torch.Size([256]),256
32,layer3.0.bn1.bias,torch.Size([256]),256
33,layer3.0.conv2.weight,"torch.Size([256, 256, 3, 3])",589824
34,layer3.0.bn2.weight,torch.Size([256]),256
35,layer3.0.bn2.bias,torch.Size([256]),256
36,layer3.0.downsample.0.weight,"torch.Size([256, 128, 1, 1])",32768
37,layer3.0.downsample.1.weight,torch.Size([256]),256
38,layer3.0.downsample.1.bias,torch.Size([256]),256
39,layer3.1.conv1.weight,"torch.Size([256, 256, 3, 3])",589824
40,layer3.1.bn1.weight,torch.Size([256]),256
41,layer3.1.bn1.bias,torch.Size([256]),256
42,layer3.1.conv2.weight,"torch.Size([256, 256, 3, 3])",589824
43,layer3.1.bn2.weight,torch.Size([256]),256
44,layer3.1.bn2.bias,torch.Size([256]),256
45,layer4.0.conv1.weight,"torch.Size([512, 256, 3, 3])",1179648
46,layer4.0.bn1.weight,torch.Size([512]),512
47,layer4.0.bn1.bias,torch.Size([512]),512
48,layer4.0.conv2.weight,"torch.Size([512, 512, 3, 3])",2359296
49,layer4.0.bn2.weight,torch.Size([512]),512
50,layer4.0.bn2.bias,torch.Size([512]),512
51,layer4.0.downsample.0.weight,"torch.Size([512, 256, 1, 1])",131072
52,layer4.0.downsample.1.weight,torch.Size([512]),512
53,layer4.0.downsample.1.bias,torch.Size([512]),512
54,layer4.1.conv1.weight,"torch.Size([512, 512, 3, 3])",2359296
55,layer4.1.bn1.weight,torch.Size([512]),512
56,layer4.1.bn1.bias,torch.Size([512]),512
57,layer4.1.conv2.weight,"torch.Size([512, 512, 3, 3])",2359296
58,layer4.1.bn2.weight,torch.Size([512]),512
59,layer4.1.bn2.bias,torch.Size([512]),512
60,fc.weight,"torch.Size([100, 512])",51200
61,fc.bias,torch.Size([100]),100
